id_fournisseur,montant_moyen,montant_ecart_type,nb_transactions
FRS-00118,6041.73677034358,1499.131178510413,553
FRS-00119,1484.523142614601,384.7115584183607,589
FRS-00120,799.1834480286739,191.2546686812185,558
FRS-00121,254.23554448398573,58.092178607847465,281
FRS-00122,1501.1778706293705,363.6607935916422,572
FRS-00123,250.17520571428574,60.20276709932542,525
FRS-00124,810.3597886792453,207.83894854838485,530
FRS-00125,541.3552660714286,146.42474167208786,560
FRS-00126,9085.020522202485,2275.8123694666037,563
FRS-00127,3024.674330388693,728.8569699261296,566
FRS-00128,1490.8745921787709,364.1875912517416,537
FRS-00129,8954.273325497288,2236.3018394237506,553
FRS-00130,5912.167104089219,1487.1396262869043,538
FRS-00131,803.7501151202749,196.95011323919465,582
FRS-00132,253.0854382826476,60.82191387126418,559
FRS-00133,1494.2592307692307,364.3020309725395,572
FRS-00134,9018.793043577982,2233.85520803102,436
FRS-00135,248.05237765957446,62.38803456900113,564
FRS-00136,548.1315349716446,223.96562226078836,529
FRS-00137,1533.7499944444444,509.43233882511373,540
FRS-00138,3031.85966609589,753.2579731352793,584
FRS-00139,1506.5175197132617,380.133668673824,558
FRS-00140,3011.6816234234234,765.6807425238266,555
FRS-00141,251.54211188811186,66.10395842214575,572
FRS-00142,1490.0846823529412,364.9585380879791,595
FRS-00143,8853.465990272374,2261.1668070628702,514
FRS-00144,856.3119194630872,223.31597762952873,596
FRS-00145,5979.048649700599,1531.6408071328021,334
FRS-00146,809.904041218638,207.19059662030503,558
FRS-00147,500.6834628378378,125.27084044225369,592
FRS-00148,788.6565971731449,210.51525152486533,566
FRS-00149,9047.496850746269,2271.072812974515,536
FRS-00150,496.1591313131313,129.15474962701578,594
