id_transaction,date_transaction,id_fournisseur,montant,devise,type_depense,mode_paiement,id_employe_initiateur,id_employe_validateur,statut_validation,numero_facture
TX-0000209,2024-09-06,FRS-00147,424.779,TND,Transport,Chèque,EMP-008,EMP-016,Validé,FAC-23446
TX-0001162,2024-09-06,FRS-00010,412.253,TND,Prestation de conseil,Virement,EMP-025,EMP-018,Validé,FAC-37379
TX-0002259,2024-09-06,FRS-00149,6447.215,TND,Location matériel,Virement,EMP-004,EMP-002,Validé,FAC-32018
TX-0003261,2024-09-06,FRS-00065,2478.677,TND,Emballage,Virement,EMP-001,EMP-005,Validé,FAC-64875
TX-0000140,2024-09-06,FRS-00114,1075.615,TND,Prestation de conseil,Virement,EMP-017,EMP-009,Validé,FAC-97878
TX-0000252,2024-09-06,FRS-00037,340.588,TND,Prestation technique,Virement,EMP-021,EMP-002,Validé,FAC-43544
TX-0002385,2024-09-06,FRS-00038,211.485,TND,Achat marchandise,Virement,EMP-022,EMP-006,Validé,FAC-23242
TX-0000927,2024-09-06,FRS-00102,228.04,TND,Transport,Virement,EMP-019,EMP-007,En attente,FAC-40972
TX-0000631,2024-09-06,FRS-00074,220.353,TND,Prestation de conseil,Virement,EMP-022,EMP-012,Validé,FAC-41552
TX-0001978,2024-09-06,FRS-00131,959.565,TND,Achat marchandise,Virement,EMP-001,EMP-024,Validé,FAC-18851
TX-0000202,2024-09-06,FRS-00075,208.501,TND,Transport,Virement,EMP-020,EMP-016,Validé,FAC-28140
TX-0003084,2024-09-06,FRS-00131,876.279,TND,Transport,Virement,EMP-022,EMP-016,En attente,FAC-64529
TX-0001296,2024-09-06,FRS-00028,945.336,TND,Emballage,Virement,EMP-014,EMP-004,Validé,FAC-20566
TX-0001440,2024-09-06,FRS-00140,3614.865,TND,Prestation de conseil,Virement,EMP-001,EMP-005,En attente,FAC-18292
TX-0003014,2024-09-06,FRS-00012,707.859,TND,Achat marchandise,Virement,EMP-012,EMP-023,En attente,FAC-48712
TX-0002342,2024-09-06,FRS-00082,720.688,TND,Transport,Virement,EMP-010,EMP-015,Validé,FAC-87537
TX-0002252,2024-09-06,FRS-00114,1960.973,TND,Emballage,Virement,EMP-016,EMP-018,Validé,FAC-26880
TX-0001420,2024-09-06,FRS-00027,1068.765,TND,Maintenance,Virement,EMP-024,EMP-016,Validé,FAC-60493
TX-0002516,2024-09-06,FRS-00087,1610.059,TND,Emballage,Virement,EMP-005,EMP-015,Validé,FAC-91931
TX-0002997,2024-09-06,FRS-00023,2462.536,TND,Emballage,Virement,EMP-022,EMP-006,Validé,FAC-64896
TX-0002497,2024-09-06,FRS-00058,224.03,TND,Maintenance,Chèque,EMP-007,EMP-024,Validé,FAC-44768
TX-0003173,2024-09-06,FRS-00097,3896.212,TND,Transport,Virement,EMP-023,EMP-018,Validé,FAC-10022
TX-0001546,2024-09-06,FRS-00127,3763.965,TND,Location matériel,Virement,EMP-009,EMP-015,Validé,FAC-62378
TX-0002702,2024-09-06,FRS-00068,3706.631,TND,Maintenance,Virement,EMP-004,EMP-002,Validé,FAC-36097
TX-0000744,2024-09-06,FRS-00095,233.307,TND,Prestation technique,Virement,EMP-003,EMP-002,Validé,FAC-35006
TX-0002188,2024-09-06,FRS-00046,926.63,TND,Prestation technique,Virement,EMP-001,EMP-009,Validé,FAC-31544
TX-0000408,2024-09-06,FRS-00093,2994.875,TND,Maintenance,Virement,EMP-024,EMP-002,Validé,FAC-89635
TX-0001117,2024-09-06,FRS-00036,3210.133,TND,Transport,Virement,EMP-015,EMP-018,Validé,FAC-63511
TX-0002417,2024-09-06,FRS-00089,1084.958,TND,Location matériel,Virement,EMP-007,EMP-006,Validé,FAC-90134
TX-0003163,2024-09-06,FRS-00099,5330.124,TND,Achat marchandise,Chèque,EMP-010,EMP-007,Validé,FAC-25559
TX-0002703,2024-09-06,FRS-00128,1113.848,TND,Emballage,Virement,EMP-002,EMP-023,Validé,FAC-45910
TX-0002704,2024-09-06,FRS-00082,1068.279,TND,Location matériel,Chèque,EMP-024,EMP-006,Validé,FAC-58280
TX-0001830,2024-09-06,FRS-00085,180.574,TND,Achat marchandise,Virement,EMP-023,EMP-012,Validé,FAC-85750
TX-0003150,2024-09-06,FRS-00012,439.82,TND,Transport,Virement,EMP-014,EMP-002,Validé,FAC-94320
TX-0001293,2024-09-06,FRS-00147,481.598,TND,Achat marchandise,Virement,EMP-019,EMP-006,Validé,FAC-39603
TX-0001564,2024-09-06,FRS-00144,1128.741,TND,Emballage,Virement,EMP-020,EMP-007,Validé,FAC-99070
TX-0001852,2024-09-06,FRS-00013,2693.284,TND,Transport,Virement,EMP-020,EMP-023,Validé,FAC-30837
TX-0001583,2024-09-06,FRS-00084,895.816,TND,Prestation de conseil,Virement,EMP-001,EMP-006,Validé,FAC-73298
TX-0003066,2024-09-06,FRS-00141,294.148,TND,Location matériel,Chèque,EMP-023,EMP-002,Validé,FAC-58840
TX-0002372,2024-09-06,FRS-00002,323.474,TND,Prestation de conseil,Virement,EMP-010,EMP-021,Validé,FAC-17806
TX-0001555,2024-09-06,FRS-00006,895.827,TND,Achat marchandise,Virement,EMP-004,EMP-002,Validé,FAC-77999
TX-0001843,2024-09-06,FRS-00110,289.511,TND,Transport,Virement,EMP-001,EMP-021,Validé,FAC-30707
TX-0000378,2024-09-06,FRS-00097,2318.15,TND,Achat marchandise,Virement,EMP-008,EMP-004,Validé,FAC-23447
TX-0002595,2024-09-06,FRS-00150,404.537,TND,Transport,Chèque,EMP-001,EMP-009,Validé,FAC-99538
TX-0003137,2024-09-06,FRS-00084,812.745,TND,Transport,Virement,EMP-010,EMP-018,Validé,FAC-71510
TX-0002439,2024-09-06,FRS-00132,292.36,TND,Prestation de conseil,Virement,EMP-001,EMP-018,Validé,FAC-42707
TX-0000290,2024-09-06,FRS-00143,9483.45,TND,Emballage,Virement,EMP-018,EMP-015,Validé,FAC-97080
TX-0001517,2024-09-06,FRS-00148,777.398,TND,Prestation de conseil,Virement,EMP-001,EMP-023,Validé,FAC-19694
TX-0002409,2024-09-06,FRS-00114,1184.378,TND,Prestation de conseil,Virement,EMP-025,EMP-024,Validé,FAC-10235
TX-0000808,2024-09-06,FRS-00069,603.951,TND,Prestation de conseil,Virement,EMP-007,EMP-009,En attente,FAC-67983
TX-0001910,2024-09-06,FRS-00143,7317.318,TND,Transport,Chèque,EMP-004,EMP-021,Validé,FAC-31511
TX-0003194,2024-09-06,FRS-00052,1852.58,TND,Prestation technique,Virement,EMP-022,EMP-023,Validé,FAC-72014
TX-0000382,2024-09-06,FRS-00016,137.504,TND,Emballage,Virement,EMP-025,EMP-004,Validé,FAC-48750
TX-0002683,2024-09-06,FRS-00128,2183.837,TND,Transport,Virement,EMP-002,EMP-007,Validé,FAC-77537
TX-0002686,2024-09-06,FRS-00001,312.31,TND,Prestation technique,Virement,EMP-005,EMP-005,Validé,FAC-50779
TX-0002232,2024-09-06,FRS-00024,389.719,TND,Achat marchandise,Chèque,EMP-013,EMP-024,Validé,FAC-11567
TX-0001248,2024-09-06,FRS-00108,304.339,TND,Prestation technique,Chèque,EMP-010,EMP-012,Validé,FAC-76287
TX-0002795,2024-09-06,FRS-00045,194.061,TND,Maintenance,Virement,EMP-018,EMP-021,Validé,FAC-29651
TX-0001531,2024-09-06,FRS-00106,295.121,TND,Achat marchandise,Virement,EMP-005,EMP-023,Validé,FAC-93647
TX-0001536,2024-09-06,FRS-00098,6382.967,TND,Transport,Chèque,EMP-008,EMP-012,Validé,FAC-97122
TX-0001659,2024-09-06,FRS-00086,184.502,TND,Prestation technique,Virement,EMP-007,EMP-015,Validé,FAC-87354
TX-0002632,2024-09-06,FRS-00087,1476.571,TND,Prestation technique,Virement,EMP-019,EMP-009,Validé,FAC-63856
TX-0001894,2024-09-06,FRS-00023,3406.308,TND,Achat marchandise,Virement,EMP-020,EMP-023,Validé,FAC-23526
TX-0001307,2024-09-06,FRS-00099,5857.292,TND,Emballage,Virement,EMP-020,EMP-021,Validé,FAC-93459
TX-0000230,2024-09-06,FRS-00110,342.099,TND,Prestation technique,Virement,EMP-018,EMP-005,Validé,FAC-40903
TX-0001676,2024-09-06,FRS-00031,647.673,TND,Maintenance,Virement,EMP-016,EMP-004,En attente,FAC-85340
TX-0001032,2024-09-06,FRS-00029,442.958,TND,Emballage,Chèque,EMP-014,EMP-007,Validé,FAC-95660
TX-0002887,2024-09-06,FRS-00103,1621.043,TND,Prestation de conseil,Virement,EMP-013,EMP-009,Validé,FAC-93165
TX-0003294,2024-09-06,FRS-00095,584.342,TND,Prestation de conseil,Virement,EMP-023,EMP-018,Validé,FAC-25126
TX-0000065,2024-09-06,FRS-00137,1677.472,TND,Transport,Virement,EMP-012,EMP-023,Validé,FAC-86064
TX-0000598,2024-09-06,FRS-00003,384.521,TND,Location matériel,Virement,EMP-020,EMP-018,Validé,FAC-23917
TX-0002627,2024-09-06,FRS-00086,215.681,TND,Prestation de conseil,Virement,EMP-019,EMP-021,Validé,FAC-83752
TX-0002555,2024-09-06,FRS-00132,254.931,TND,Emballage,Virement,EMP-011,EMP-015,Validé,FAC-97486
TX-0001350,2024-09-06,FRS-00060,1217.324,TND,Emballage,Virement,EMP-013,EMP-024,Validé,FAC-28343
TX-0001666,2024-09-06,FRS-00137,1591.804,TND,Emballage,Virement,EMP-022,EMP-024,Validé,FAC-50026
TX-0001651,2024-09-06,FRS-00120,1003.454,TND,Prestation de conseil,Chèque,EMP-001,EMP-002,Validé,FAC-55603
TX-0000073,2024-09-06,FRS-00012,353.956,TND,Transport,Virement,EMP-025,EMP-005,Validé,FAC-89299
TX-0001565,2024-09-06,FRS-00100,10718.843,TND,Emballage,Virement,EMP-005,EMP-024,Validé,FAC-87147
TX-0001327,2024-09-06,FRS-00058,339.064,TND,Maintenance,Virement,EMP-017,EMP-005,Validé,FAC-46749
TX-0000580,2024-09-06,FRS-00023,3908.238,TND,Prestation de conseil,Chèque,EMP-007,EMP-015,Validé,FAC-17852
TX-0002910,2024-09-06,FRS-00031,837.062,TND,Transport,Virement,EMP-019,EMP-024,En attente,FAC-36137
TX-0000970,2024-09-06,FRS-00001,104.17,TND,Emballage,Chèque,EMP-020,EMP-015,Validé,FAC-76255
TX-0002122,2024-09-06,FRS-00147,301.69,TND,Prestation de conseil,Virement,EMP-024,EMP-004,Validé,FAC-87554
TX-0000034,2024-09-06,FRS-00002,472.637,TND,Location matériel,Virement,EMP-021,EMP-002,Validé,FAC-52363
TX-0000989,2024-09-06,FRS-00008,687.798,TND,Prestation technique,Virement,EMP-014,EMP-021,Validé,FAC-27294
TX-0001033,2024-09-06,FRS-00082,445.947,TND,Prestation technique,Virement,EMP-022,EMP-012,Validé,FAC-55582
TX-0002917,2024-09-06,FRS-00042,2347.181,TND,Emballage,Virement,EMP-024,EMP-021,Validé,FAC-98702
TX-0003276,2024-09-06,FRS-00055,636.679,TND,Transport,Chèque,EMP-011,EMP-012,Validé,FAC-51144
TX-0001045,2024-09-06,FRS-00138,2551.655,TND,Transport,Virement,EMP-011,EMP-005,Validé,FAC-98276
TX-0002657,2024-09-07,FRS-00098,9274.382,TND,Achat marchandise,Virement,EMP-002,EMP-007,Validé,FAC-12651
TX-0000366,2024-09-07,FRS-00085,217.545,TND,Prestation de conseil,Virement,EMP-004,EMP-018,Validé,FAC-58148
TX-0002209,2024-09-07,FRS-00126,7879.133,TND,Maintenance,Virement,EMP-019,EMP-023,Validé,FAC-52964
TX-0003043,2024-09-07,FRS-00082,534.51,TND,Transport,Virement,EMP-012,EMP-018,Validé,FAC-16564
TX-0002796,2024-09-07,FRS-00004,9599.676,TND,Maintenance,Virement,EMP-021,EMP-015,Validé,FAC-77802
TX-0002534,2024-09-07,FRS-00135,228.953,TND,Emballage,Chèque,EMP-006,EMP-016,Validé,FAC-44734
TX-0000340,2024-09-07,FRS-00138,3450.393,TND,Emballage,Virement,EMP-014,EMP-021,Validé,FAC-51365
TX-0000872,2024-09-07,FRS-00119,1805.373,TND,Location matériel,Chèque,EMP-017,EMP-021,Validé,FAC-53914
TX-0001176,2024-09-07,FRS-00082,905.398,TND,Emballage,Virement,EMP-010,EMP-015,Validé,FAC-52154
TX-0001000,2024-09-07,FRS-00136,525.963,TND,Emballage,Virement,EMP-016,EMP-005,Validé,FAC-61897
TX-0001598,2024-09-07,FRS-00014,6439.698,TND,Transport,Virement,EMP-024,EMP-007,Validé,FAC-98754
TX-0001011,2024-09-07,FRS-00092,1824.599,TND,Prestation technique,Virement,EMP-004,EMP-023,Validé,FAC-17897
TX-0000772,2024-09-07,FRS-00068,7526.019,TND,Transport,Virement,EMP-010,EMP-021,Validé,FAC-56437
TX-0001870,2024-09-07,FRS-00103,1123.56,TND,Emballage,Virement,EMP-021,EMP-002,Validé,FAC-21953
TX-0000976,2024-09-07,FRS-00049,968.396,TND,Transport,Virement,EMP-002,EMP-024,Validé,FAC-53007
TX-0001599,2024-09-07,FRS-00080,411.692,TND,Prestation technique,Virement,EMP-023,EMP-024,Validé,FAC-31542
TX-0000484,2024-09-07,FRS-00071,200.469,TND,Location matériel,Chèque,EMP-022,EMP-007,Validé,FAC-85009
TX-0002508,2024-09-07,FRS-00033,735.445,TND,Prestation technique,Virement,EMP-025,EMP-007,Validé,FAC-30131
TX-0001454,2024-09-07,FRS-00137,1813.985,TND,Prestation de conseil,Virement,EMP-002,EMP-023,Validé,FAC-90828
TX-0001355,2024-09-07,FRS-00097,4195.16,TND,Transport,Virement,EMP-010,EMP-012,Validé,FAC-22803
TX-0002154,2024-09-07,FRS-00027,1179.681,TND,Location matériel,Virement,EMP-004,EMP-005,Validé,FAC-64140
TX-0000777,2024-09-07,FRS-00047,992.499,TND,Prestation de conseil,Virement,EMP-012,EMP-009,Validé,FAC-89963
TX-0001208,2024-09-07,FRS-00016,301.996,TND,Maintenance,Virement,EMP-025,EMP-004,Validé,FAC-35715
TX-0077738,2024-09-07,FRS-00078,399.31,TND,Emballage,Chèque,EMP-008,EMP-009,Validé,FAC-35639
TX-0077741,2024-09-07,FRS-00078,429.231,TND,Transport,Chèque,EMP-001,EMP-015,Validé,FAC-11817
TX-0001745,2024-09-07,FRS-00125,437.318,TND,Emballage,Chèque,EMP-024,EMP-004,Validé,FAC-68947
TX-0000060,2024-09-07,FRS-00130,2995.313,TND,Maintenance,Virement,EMP-003,EMP-016,Validé,FAC-90610
TX-0001345,2024-09-07,FRS-00088,3443.742,TND,Transport,Virement,EMP-008,EMP-006,Validé,FAC-61007
TX-0002349,2024-09-07,FRS-00089,2110.452,TND,Location matériel,Virement,EMP-007,EMP-006,Validé,FAC-34672
TX-0001501,2024-09-07,FRS-00135,281.988,TND,Transport,Chèque,EMP-008,EMP-012,Validé,FAC-37479
TX-0001624,2024-09-07,FRS-00115,3235.264,TND,Prestation technique,Virement,EMP-020,EMP-009,Validé,FAC-60965
TX-0000281,2024-09-07,FRS-00013,2533.34,TND,Prestation technique,Virement,EMP-019,EMP-009,Validé,FAC-48177
TX-0003213,2024-09-07,FRS-00086,280.168,TND,Maintenance,Virement,EMP-021,EMP-004,Validé,FAC-74542
TX-0000248,2024-09-07,FRS-00118,6478.119,TND,Transport,Virement,EMP-016,EMP-023,Validé,FAC-90654
TX-0001349,2024-09-07,FRS-00063,6560.768,TND,Location matériel,Virement,EMP-015,EMP-016,En attente,FAC-60311
TX-0000301,2024-09-07,FRS-00058,295.919,TND,Maintenance,Virement,EMP-011,EMP-021,Validé,FAC-12665
TX-0001038,2024-09-07,FRS-00011,10006.813,TND,Prestation de conseil,Virement,EMP-014,EMP-007,Validé,FAC-79316
TX-0000521,2024-09-07,FRS-00049,1327.848,TND,Transport,Chèque,EMP-019,EMP-002,Rejeté,FAC-49862
TX-0001490,2024-09-07,FRS-00008,998.671,TND,Achat marchandise,Virement,EMP-009,EMP-018,En attente,FAC-57843
TX-0000608,2024-09-07,FRS-00085,231.847,TND,Prestation technique,Virement,EMP-003,EMP-023,En attente,FAC-16632
TX-0001912,2024-09-07,FRS-00115,2739.374,TND,Prestation de conseil,Chèque,EMP-022,EMP-002,Validé,FAC-56030
TX-0002662,2024-09-07,FRS-00107,1707.257,TND,Prestation de conseil,Virement,EMP-002,EMP-021,Validé,FAC-74437
TX-0000573,2024-09-07,FRS-00150,417.111,TND,Achat marchandise,Virement,EMP-013,EMP-023,Validé,FAC-73300
TX-0001784,2024-09-07,FRS-00007,923.779,TND,Maintenance,Virement,EMP-019,EMP-012,Validé,FAC-26631
TX-0000485,2024-09-07,FRS-00045,162.211,TND,Maintenance,Virement,EMP-011,EMP-004,Validé,FAC-58353
TX-0002143,2024-09-07,FRS-00046,1059.305,TND,Transport,Virement,EMP-002,EMP-024,Validé,FAC-79443
TX-0002355,2024-09-07,FRS-00071,356.67,TND,Emballage,Virement,EMP-010,EMP-018,Validé,FAC-14975
TX-0001159,2024-09-07,FRS-00026,1400.118,TND,Maintenance,Virement,EMP-014,EMP-004,Validé,FAC-83249
TX-0000640,2024-09-07,FRS-00116,1292.497,TND,Emballage,Virement,EMP-016,EMP-024,Validé,FAC-95755
TX-0001683,2024-09-07,FRS-00063,4241.601,TND,Transport,Chèque,EMP-005,EMP-007,Validé,FAC-94575
TX-0002778,2024-09-07,FRS-00049,1094.57,TND,Achat marchandise,Virement,EMP-002,EMP-024,Validé,FAC-89829
TX-0002928,2024-09-07,FRS-00026,2095.681,TND,Prestation technique,Virement,EMP-003,EMP-023,Validé,FAC-87158
TX-0000695,2024-09-07,FRS-00131,725.652,TND,Prestation technique,Virement,EMP-021,EMP-005,Validé,FAC-77568
TX-0000728,2024-09-07,FRS-00008,791.158,TND,Transport,Virement,EMP-021,EMP-012,Validé,FAC-85711
TX-0002090,2024-09-07,FRS-00038,240.241,TND,Prestation de conseil,Virement,EMP-016,EMP-023,En attente,FAC-51934
TX-0001198,2024-09-07,FRS-00034,6250.683,TND,Prestation de conseil,Virement,EMP-003,EMP-023,Validé,FAC-39002
TX-0001693,2024-09-07,FRS-00133,1471.492,TND,Location matériel,Chèque,EMP-025,EMP-012,Validé,FAC-91187
TX-0000422,2024-09-07,FRS-00097,3272.166,TND,Emballage,Virement,EMP-025,EMP-016,Validé,FAC-30111
TX-0002029,2024-09-07,FRS-00140,4253.353,TND,Prestation de conseil,Virement,EMP-021,EMP-007,Validé,FAC-33022
TX-0001703,2024-09-07,FRS-00088,6186.305,TND,Transport,Chèque,EMP-013,EMP-016,Validé,FAC-95599
TX-0002460,2024-09-07,FRS-00120,747.949,TND,Maintenance,Virement,EMP-016,EMP-015,Validé,FAC-39567
TX-0002473,2024-09-07,FRS-00069,741.221,TND,Transport,Virement,EMP-010,EMP-012,Validé,FAC-59212
TX-0003149,2024-09-07,FRS-00127,2860.254,TND,Transport,Virement,EMP-023,EMP-023,Validé,FAC-82154
TX-0000446,2024-09-07,FRS-00052,1649.004,TND,Location matériel,Chèque,EMP-010,EMP-021,Validé,FAC-44311
TX-0002848,2024-09-07,FRS-00112,790.809,TND,Prestation de conseil,Virement,EMP-008,EMP-005,Validé,FAC-58717
TX-0002573,2024-09-07,FRS-00089,1612.243,TND,Maintenance,Virement,EMP-007,EMP-006,Rejeté,FAC-72424
TX-0003022,2024-09-07,FRS-00049,1725.88,TND,Location matériel,Virement,EMP-002,EMP-024,Validé,FAC-40737
TX-0002228,2024-09-07,FRS-00080,371.553,TND,Emballage,Virement,EMP-015,EMP-007,Validé,FAC-70560
TX-0001861,2024-09-07,FRS-00067,1904.951,TND,Location matériel,Virement,EMP-013,EMP-002,Validé,FAC-95054
TX-0000383,2024-09-07,FRS-00024,484.137,TND,Prestation de conseil,Virement,EMP-018,EMP-015,Validé,FAC-50173
TX-0001847,2024-09-07,FRS-00073,3208.276,TND,Achat marchandise,Virement,EMP-004,EMP-006,En attente,FAC-66072
TX-0000394,2024-09-07,FRS-00065,3586.372,TND,Location matériel,Virement,EMP-008,EMP-007,Validé,FAC-67008
TX-0003010,2024-09-07,FRS-00030,726.692,TND,Location matériel,Virement,EMP-012,EMP-023,Validé,FAC-78569
TX-0002972,2024-09-07,FRS-00103,1443.223,TND,Achat marchandise,Chèque,EMP-004,EMP-009,Validé,FAC-12587
TX-0000597,2024-09-07,FRS-00119,1019.426,TND,Prestation technique,Virement,EMP-010,EMP-023,Validé,FAC-83616
TX-0000480,2024-09-07,FRS-00110,294.134,TND,Maintenance,Virement,EMP-023,EMP-006,Validé,FAC-74752
TX-0000913,2024-09-07,FRS-00072,1519.524,TND,Maintenance,Virement,EMP-005,EMP-007,Validé,FAC-10895
TX-0002007,2024-09-07,FRS-00052,1286.338,TND,Maintenance,Chèque,EMP-009,EMP-002,Validé,FAC-61213
TX-0001561,2024-09-07,FRS-00018,4907.228,TND,Prestation de conseil,Virement,EMP-003,EMP-018,Validé,FAC-59036
TX-0000709,2024-09-07,FRS-00028,986.104,TND,Achat marchandise,Virement,EMP-018,EMP-007,Validé,FAC-74205
TX-0000475,2024-09-07,FRS-00123,292.145,TND,Transport,Virement,EMP-002,EMP-012,Validé,FAC-39391
TX-0002832,2024-09-07,FRS-00042,2808.09,TND,Prestation de conseil,Virement,EMP-016,EMP-009,En attente,FAC-22793
TX-0001552,2024-09-07,FRS-00099,6481.057,TND,Maintenance,Virement,EMP-024,EMP-023,Validé,FAC-43913
TX-0001845,2024-09-07,FRS-00098,7686.834,TND,Prestation technique,Chèque,EMP-006,EMP-009,Validé,FAC-69836
TX-0003174,2024-09-07,FRS-00075,246.981,TND,Location matériel,Virement,EMP-015,EMP-002,Validé,FAC-21913
TX-0002095,2024-09-07,FRS-00105,6908.031,TND,Emballage,Virement,EMP-020,EMP-016,Rejeté,FAC-25650
TX-0001541,2024-09-07,FRS-00024,376.825,TND,Emballage,Chèque,EMP-003,EMP-004,Validé,FAC-15806
TX-0000810,2024-09-08,FRS-00078,487.856,TND,Transport,Virement,EMP-023,EMP-018,Validé,FAC-43612
TX-0000045,2024-09-08,FRS-00015,1158.771,TND,Prestation technique,Virement,EMP-020,EMP-012,Validé,FAC-87518
TX-0003298,2024-09-08,FRS-00091,577.588,TND,Maintenance,Virement,EMP-003,EMP-002,Validé,FAC-86389
TX-0000297,2024-09-08,FRS-00086,368.174,TND,Maintenance,Chèque,EMP-019,EMP-006,Validé,FAC-81313
TX-0001113,2024-09-08,FRS-00112,499.094,TND,Prestation de conseil,Virement,EMP-008,EMP-012,Validé,FAC-59958
TX-0000348,2024-09-08,FRS-00127,2407.586,TND,Prestation technique,Virement,EMP-006,EMP-023,Validé,FAC-94790
TX-0001510,2024-09-08,FRS-00012,453.438,TND,Prestation de conseil,Virement,EMP-024,EMP-023,Validé,FAC-49692
TX-0000276,2024-09-08,FRS-00043,226.274,TND,Location matériel,Virement,EMP-022,EMP-006,Validé,FAC-92831
TX-0001548,2024-09-08,FRS-00050,1415.664,TND,Achat marchandise,Virement,EMP-019,EMP-002,Validé,FAC-66420
TX-0000467,2024-09-08,FRS-00076,494.782,TND,Emballage,Virement,EMP-022,EMP-007,En attente,FAC-81063
TX-0000699,2024-09-08,FRS-00116,1598.954,TND,Location matériel,Virement,EMP-016,EMP-024,Validé,FAC-51750
TX-0002787,2024-09-08,FRS-00133,1347.481,TND,Location matériel,Chèque,EMP-001,EMP-012,Validé,FAC-93964
TX-0002966,2024-09-08,FRS-00016,211.875,TND,Maintenance,Virement,EMP-025,EMP-004,Validé,FAC-16368
TX-0002678,2024-09-08,FRS-00142,1231.006,TND,Achat marchandise,Virement,EMP-014,EMP-009,Validé,FAC-63368
TX-0002237,2024-09-08,FRS-00049,1883.039,TND,Emballage,Virement,EMP-002,EMP-024,Validé,FAC-62505
TX-0001320,2024-09-08,FRS-00108,138.275,TND,Prestation technique,Virement,EMP-011,EMP-015,Validé,FAC-37710
TX-0000044,2024-09-08,FRS-00048,6877.058,TND,Emballage,Chèque,EMP-006,EMP-009,Validé,FAC-46002
TX-0003157,2024-09-08,FRS-00075,263.162,TND,Prestation de conseil,Virement,EMP-016,EMP-005,Validé,FAC-85108
TX-0000287,2024-09-08,FRS-00065,2913.811,TND,Emballage,Virement,EMP-019,EMP-015,Validé,FAC-84798
TX-0001749,2024-09-08,FRS-00051,4926.578,TND,Achat marchandise,Chèque,EMP-001,EMP-023,Validé,FAC-67549
TX-0001272,2024-09-08,FRS-00068,6828.994,TND,Achat marchandise,Virement,EMP-020,EMP-015,Validé,FAC-98346
TX-0003113,2024-09-08,FRS-00044,6540.305,TND,Transport,Virement,EMP-008,EMP-009,Validé,FAC-39358
TX-0002321,2024-09-08,FRS-00044,5713.402,TND,Prestation de conseil,Virement,EMP-001,EMP-009,Validé,FAC-56849
TX-0003142,2024-09-08,FRS-00027,1703.193,TND,Prestation de conseil,Virement,EMP-007,EMP-007,Validé,FAC-52026
TX-0002612,2024-09-08,FRS-00148,1121.398,TND,Transport,Virement,EMP-013,EMP-005,Validé,FAC-70051
TX-0003063,2024-09-08,FRS-00095,489.214,TND,Transport,Virement,EMP-004,EMP-021,En attente,FAC-91501
TX-0077807,2024-09-08,FRS-00082,916.25,TND,Transport,Virement,EMP-010,EMP-015,Validé,FAC-96744
